Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
 ٢٠٠ ألف ,200K , ٢٠٠ ألف ,Abyusif, 2018,https://genius.com/Abyusif-200k-lyrics,https://images.genius.com/e1e45627a2874e9f98bb4b243e37c15f.1000x1000x1.png, ميه تسعه وتسعين ميه تسعه وتسعين ونص ميه تسعه وتسعين عامل مداخله قمر Beatحاطط اتخن  Drummers جيت اسخن انفجر Beatاهلاً وسهلا  Hummer مش قادر فرد خدلك ساتر درا ساتر مفيش مساتر Beatعندك  Reach  Page Beatوانا بعرق ومني  Stage اتبل خلصت روحت بيت معاه فكه ميتين لعنه فاجره يوسعلك فجاه تعرف تعلب اعلي اجرا خلي موبايلك جيبك Beatشايفلك مستقبل File جيبك بسلت اكاذيب ونكسل هات شيك ونقسم بحكيش كتير مش بسرد Beatما انتاش Real اتاريك بتمثل بقاش رادار هنجيب ايرادات كتبت لنجيب ميرامار دمار تمادي عسل اوي زبادي بيبيهات تيمه دادي بابا سرقت جمل ابقي عصابه سرقت مني يبقي فشل عقابك خد مايك تحت باطك Beatدوس  Like احترافك داخل شمعه بهف سمعوني براب اوفف سمعوك بتراب كف مش كفء امسك دف ترقص تخلص نمره ويفترقوا ميه ميه تربو باراتي تحف بيتسرقوا انتوا لصوص خدتوا نصوص عيش قعدتهم خبزه بخوص بخصوص هارد سخن لابتوب صوف بكل فخر بكسوف Beatعندي كلاب واسود تعمل  Beatشنب رابح صقر  Beat هراب لحد اموت فيعملولي عزا كبير اصحي واطلع تابوت واقول عزمنيش نفتح متحف جنين اتعمل خدوا مني شعار ببلاش كوسه كلوس اب داخل بوسه بُق بفلوس خد سنانك خلصتش لسه دروس Beatفي عصب امير ظلام  Beat عصا معمي وداسكوا فمن مخمضه اتعذر ولي حنش هتبخ هنفعصك Beatفقمت ,201
 قطة ,2otta , قطة ,Abyusif, 2021,https://genius.com/Abyusif-2otta-lyrics,https://images.genius.com/974abb8d1a908222bb8d956631e95266.1000x1000x1.png, Beatليل بابا  Beat هيثم وعشرين ولاد  هع رايحه جايه لمين جايه لمين داخله بتس هيثم فين هيثم فين هيثم فين تلي تع اوضتك قولتلها تع اقطه مفيش تع بكره اكسين قورتك زغطه زغطه زغطه فخضيتها زلز تمانيه ريختر اسد ريتشارد احذر Beatنضاره Oscar de la Re ta تيران تريند وبننطح اعمل حاجه غيظتك خلفيه بتظهر حلوه اطل ريتش حص بيتش كارما خلاص جيت حط مراتب حيط تهز حطان بيت مش ديت تلي قولتلها هوي هوي هوي هوي هوي,78
 ٣٠٠ مرة ,300 Marra , ٣٠٠ مرة ,Abyusif, 2019,https://genius.com/Abyusif-300-marra-lyrics,https://images.genius.com/23df951fefaf9135a5c379ac57c3f114.1000x750x1.png, جيتيش نهارده ٣٠٠ مره باينلك دماغي محبوسه بتطلعيش بره عمرت طلقتين عارفه هيروحوا تركزيش كلامي هتفهمي حاجه بعدين ماجيتيش انهارده ٣٠٠ مره باينلك دماغي محبوسه بتطلعيش بره عمرت طلقتين عارفه هيروحوا تركزيش كلامي هتفهمي حاجه بعدين ساعه بترجعش كلامها بيتق سكوت مش ببقي لوحدي لوحدي هبقي لوحدي اموت خدت ايدك سرقتي مني سنين مش هيجيلي نوم هنصفي قديم لزوم اقول كلام كلام كلام مش هيفهموه بلف وبدور مش بمشي دوغري توصل بيا اقوله خدني مش بحب اطلع بره اوضتي ردي ردي بلف وبدور مش بمشي دوغري توصل بيا اقوله خدني مش بحب اطلع بره اوضتي ردي ردي ردي ردي,99
 عكسي ,3AKSY , عكسي ,Abyusif, 2012,https://genius.com/Abyusif-3aksy-lyrics,https://images.genius.com/982463a63dbb3fb05d25a160927f8f93.800x800x1.png, ادري فين قلمين افوق فين قلمين نوم بيخلص بدري غصب عني بصحي افكر فاتني سابني سيبته بيفكرني باسمه اسمه اتنسي اسمك اسهل شكلك خاسه كسي وساب بتقولي باسها ادري فين قلمين افوق فين قلمين تسمع بيشرحها وتشوف بيرسمها هيموت ويمسكها وبيقول عكس عكسي عكسي عكسي عكسي عكسي عكسي عكسي عكسي عكسي كده,52
 عملتها أجمد ,3amaltaha Agmad , عملتها أجمد ,Abyusif, 2019,https://genius.com/Abyusif-3amaltaha-agmad-lyrics,https://images.genius.com/a2b2ee4b4b2f14fb8dc54f9cdde54688.1000x1000x1.png, حديث انا اجمد اغنيه نزلتها عبقري مش كتبتها u2005مين u2005ورشه عمل بفلوس Beatلو u2005ما كانش وصل بدري كانش u2005اتعمي  Views رجعت كلمتني ادعمك وندوس نعمل تراك اوريك عبث اتفو صوتك ودنك فلوهك بتعمل نوته موضه جداً شايلك لودر بلدوزراركب فوق اخربها دوست حاجه غلط اوه كتفك سجل اوضه روضه كاتبلك عندك راندڤو مش هتوصلوه Lost اوبر عايز كليب يبقي تريند فجيبت اتنين يوتيوبرز ونص نص مش مهم بسخن نيمتش بوست نزلته بسخف تاني اتعصبت كتبت بوست مش هسقف قلدتني فيها برو اتلم بقي لسه وسابعه مش Beat69 راب مش عامل للبيدج متابعه Beatعامل فوك Li e تراب وقايله بخاصيه بجعه طير بيض عملت شير ايه مش سامعك بورورم شغلتي مش شغلتك فاتتك Double pedal Beatانا ادوس برجليا اتنين درامر ميت اصلاً بشتغل اعلانات بنظام بدل Beatهشتتك بمعني Shit هنزلك بلا كدب  كلاكيت عملتها اجمد S ap ثانوس عمل بصيت شوطت عرضيتين عملتها هجمه تورته بحب اسابورتك عوجت صورتك فانا عدلتها لاجلك فانزه كتيره قدمش وجوه جديده اذينا ف عملت واجبك هتغني جو جديد سهله ممكن اوريك عملتها قبلك,168
 عشرة ,3ashra , عشرة ,Abyusif, 2021,https://genius.com/Abyusif-3ashra-lyrics,https://images.genius.com/93d6917b6dd3b4420dc74d18cd9eb7f7.1000x1000x1.png, غيظ عارف بيحسوا بيه بدشدش عضمهم بيتعملوا فيليه سوق اتقل وزن فيلين حوت ومش بغرق ويف عايش واقع احلامه مش دافيه بتجادلوا سين وبترابوا عافيه جزمتي تكساس خواتمي اسيا كلامي اخر بيت اشيك وزميلي هتقولك ليجيند So suspicio صوص مش تقليدي تعجبني فلوهاتك برو هنتشها بعملها بتقنها بفنشها اصلاً اقسمش معاكي تويكس تكشيره اكس جنبيها اكس راسي خطط شنطه لبس Uber Select وحيد مصر بي Official Audio صاحبي قلبي خشب بينوكيو عامل باقه عامل جيجا عامل ماچيستير مصنع وكل منتج سير بمسي قمر واصبح مش غير,86
 عظمه ,3azama , عظمه ,Abyusif, 2018,https://genius.com/Abyusif-3azama-lyrics,https://images.genius.com/59e987c9403d9cef45b4f8908fe0a3f7.720x720x1.jpg, داخل بيت ازيك عامله مش اصدي مود اصدي اكل فين لابس قميص ماشي حافي شبشب كيس بقول لللارض ماتلسوعنيش معلش عايزني انط فين اكيد مش دوبلير بقيت نجم محتاج اتيك كير شاء هضبه هضبه هضبه هضبه هضبه هضبه هضبه لابس كتير اوي سلطه بتبصلي شذرا قطمت جزره مءه مره قولتلك اتصرف مش لازم تكلمني مره ذكاءك ماشوفتش ذره هستناك برا قابلت رابر جامد عمري قبلت رابر جامد مزيكه تعتبر هاديه جاكيت فجاه بقي اضيق اكل سكاكر بنجرف محتاج اجيب مدرب محترف اخس دراجون هيل مش هخس وهبقي نجم فاهم مهرجان جونه فاهم هغنيه قوم عايز افرد رجلي متاخرين ااه مش بنجري داخل بترنح مهلي مخرج بيغلي,106
 عزرائيل ٢ ,3azra2eel 2 , عزرائيل ٢ ,Abyusif, 2023,https://genius.com/Abyusif-3azra2eel-2-lyrics,https://images.genius.com/a5e949a9d6ed74a000534031ebad2b72.1000x1000x1.jpg, تس طلعت بايه قدامي راحه وطمعت صيت فاكر ياس مش هيعدم شيء كنتش كتبت زماني رجعت لكيف وقعت ليه رجعت نسيت ناس بدماغي u205fلعبت u205fجيمز ناس u205fكات بتلت وتعجن u205fكيك مش u205fبتعمل شيء مكسور سكون ضامم جرح مفتوح هتعرب فين كنتش بتطلع اوضه دلوقتي بقيتش بترجع بيت بتعمل ايه حدش بيحبك بتغني بتعند سمعتش خسرت ضعف ضيعت مشيت مافيش بيعمل شبعتش نفعش زيف تدميعه طلعت سهله لنفسي طمعتش ب اكتءاب مرتبط موضه وسعر شء طلع عمره هيكون مناسب مش اسف بقيتش محتاج اقول اسمي مش لازم مش مازن اسمي مش ماشي مش نازل لادن Satur اتجاب ومهارتي سنين ضوءيه ابعد ساتر ساكت فاكت بكف افاك فاجر نتقابل اشوطها تخش نتشاكل نتزامل مش صعب مستحيل انتم خنازر ازاي سيبتوا مخاذل مش بتقوم بينكم مجازر مش هقنعكوا مرتبه تقنعوني ازاي بتناموا عايز حاجه هيجيبه ينجو عقل اصعقنا سيكبن قولنا مش هيدوم  خلي عنيكي مرايتك تاكل Perce tage مش فارقلي هتموت وتنتج يدوك مش هتفوت سيستم ويوسف يقفش Netflix تيجي فلوس Civic تفكس سوق  Uber مسكوك تيكيت Digits رقم موجود سوق  Mothafucka u200fBoss ببص حساب بنكي بشوفش ماديًا اكتءاب سلبي بخص مب تراك جابلي دوست ميوت كانش كلام قبلي جراح فتحت دماغه لقيت صلاح فتحت دماغه لقيت جراح مبروك اتنين دور عليكو انشراح نفذي صوت مطلوب سمعيهم مبطل بطل ابطله واسمع زيرو صوت ششششش Mode ملاك موت شيطان Star wars طلع مش حقيقي ادراك خوف بار جون U til I 56 لابس كارجو ON فون قناه Co voy متن Jahseh O froy حضرت روح Troyو Nasim مقاتل Good boy يبتسم Mufasa Troll ب كلام بترول فلوس 4U Share Like Subscribe Multiply بنجري قسم ملابس ودني بنفصل كلامك بيذاكروا وبرضه بيسقطوا حبري بيكتب ملازم اسمي بينزل جداول تجيبني تنزف كتاوت Out تحسد تحسب رجلي تحسب تفاوت Kazlak هسبق هاكلك هاتلك حاسبه مش حاسبك حاده شنكل حادفك محبه حتمًا جننتك حبه حبه وعلي حبه عازمك Tommy Gu صريح فعلي Do e نازله بصوتي بعودش زوري صمت If t fucki g k ow ru Show u200eHu سيفي هاتوري هانزو سوري Fu ساعه بقينا كلوز بقيتش ستوري عارفه حج بشينجل عامله حفله بحجم سينجل عندك كشف حقك تكشف حق عبله كاتش بتكذب مفك لحد تنزف محك بيحدف حزق بنقفل حك حك بتتلف بيحسب Fit ess حبل بينجز اتحدي حشد حشر تتر حرق بيكرف بيحسد بيحدف مافيش اجمد مني راب اسمع مني اسمع بيحلف صمت بنقضي خط بيهري نقطه سطر محطه بحظ بتمشي بقه اسمي خد منطق رجلي وهفضل اراب اراب اراب طنط فضيتلي حدش اداني مساحتي دايس اوهامي تحتي كنتش اكتشفت زماني لوحدي ومش بعيد فهمتش ابقي عيد عايز اموت سيبني اعيش,415
 عزرائيل ,3azra2eel , عزرائيل ,Abyusif, 2017,https://genius.com/Abyusif-3azra2eel-lyrics,https://images.genius.com/e032743e431204373be06bdd22e52db8.1000x1000x1.png, اكتءاب مرتبط موضه وسعر شيء هلاوس فشل دماغي فنانه بتبدع بليل بقف رجلي تقولي ودني بتعند قاعد اوضه بتعمل بص دندن ريت دبدبه مافيش سرير اقنعنا مرتبه مش كتير اشمعنا بيت مكتبك اعلان جديد تبيعنا مبداك مش يوسف طاي عاشق اسامي برافو مجهود وعاشت اغاني مش هكذب عليه فقمت رادد مش خلص جوه مش فاضل عبوه للاسف بقي مناسب فات اتدفن حضرتش مراسم اسف اسمي بقي مازن لازم امشي نازل بتغير مواسم تقارنش طور قطم دور بوستاتك بتتقريش خط دكتور صراحه اتحجرت بقت كهرمان جراحه فتحت مخي لقت اهرامات علف فكره عندي تراكاتك مياه مِجرا بتعدي نابي زفر يفوت حيط باب يتقفل كنتش اتولدت مصر راب يتدفن بوذا امتي بتلبس شوزك بتعمل اعلان كازوزا سبوبه فاكر كوبا اكذوبه ركوبه مش محتاج زق مش زوبه ملعوبه ارتاحت اطلاقاً قمت ضاحك نفاقاً دخلت موضوع وقمت ساحب طاقه بحط سبوت عليهم كاني شاحن باقه منصور كار جزيرته بتاخدوا دولار هيلتون دخله بار سكرتوا بسقي نار سبيرتو رابر فاشل فيكو تيمبو خاص بيه رخاص فري مج هتبقوا اقفاص جيبوا بطنكو نفسكو تبقوا حامل مني بيف MCs حاقن بيبي عِرق سحابه  عندك حيطه لدماغك وعندك حاجب تنتف سجان بقفل باب ابقي حابب متفقين دمك مش بشرب ذوقياً نازل خفيف اقر نشره جويه فخلاص مش درسي ترجم بارات فارسي طلاسم ترزي خيمته ناصب نفسي موظف تحت صفر باجيش عصر اغيب تعيش انت ميت بيب بيب عزراءيل خاف جلا مشغول بخلاف مج راب جاب اجلنا تتصورش غلاف مجله شهير مازن عندليب شم دقي حابين رز بُقي جيت نُقي مش عارف بصراحه دايماً اتنين صباحاً ببقي بيعرفش يتكلم وقاحه هقولكو سر احط سرج ضهركو ستيل بطنكو سايبه يسيح غل افركه بكتب اعلانات  ببيع بطاس وسم فران عادي شركه ريد بتكسب تكاثر دبان بتحطش وسطهم اكيد مافيش ديناميت مول اسمي انفجر قذف بحجه اجيب بيت بترول اشتغلت غيابي اكيد وجودي ساطل راكب قدام كاتم صوت سكوتي قاتل صدمات تابعه ناقص لدعه ونبقي عظماء سبعه بقاء استدعي اقوم قاذف ابعد فرخه باضت جدعه ايش جاب بيض للفرخه بكشك طوبه تروح سطوح لسطوح وتقوم شارخه دش تش خلاص شايل باقي هيلمه تلاقي اسمي ضرب تري تري اين اشلاءي طفل فسله تفه باف روضه بتجيلي بقفل راوتر شطبت سقف تتفوتر وابقوا افتكروا كويس جبرتوه خد وصلك اصلاً وصلت بواسطه اسطي ودا باركور برضك ابن ناس بلتصق لاب اشمعنا سمعنا فتره غطرسه كلاب اطلس بلاد بقيت رمضان بيبي اشترت فانوس كوخه ببخل مخك اتخن ملك فاروق قرصان فرجت طقم نطه قبطان خلصان قبعته قطر قضبان شبطان عندك باندا غانا عامله تنده غابه عبله كات كذابه عامهً بتغابي مَتَن دبابه موتور ي سيمفوني اوركستر براب مش فاضي ي,414
 ثري دي ,3D , ثري دي ,Abyusif,2016,https://genius.com/Abyusif-3d-lyrics,https://images.genius.com/9f7fc2cd0a04e74481c84887f39e950d.1000x1000x1.png,في عقلي باطن Shot نفتح مفيش كلام مشهد هناخده صامت ديكور عشواءي حاجات اختارها كيس تلج وجوانتي حارس مرمي كوبايه بتقع مبتكسرش غس دايره بقعه مبتتفصلش سقف بيعلي حيط بيوسع مبيجريش شوك رجليه بيوجع مهموم وبيحاول يهرج تفتح عينيها ل مره تشوف كذاب رخيص بيغيب دروس هينام متخافيش ويعيش كابوس صوره وصوت صوره وصوت هيعيش كابوس صوره وصوت صوره وصوت صوره وصوت هيعيش كابوس صوره وصوت نفتح مشهد مرونه شيكرتون وكُره ب كميات معقوله اضاءه قاسيه بيغمي عينيه مخرج بيزيح ايديه شوف نتيجه عِندك بقيت علبه علبه علبه نور بيوطي كدر بيضيق بيتاخر رد يتقدم ياس,96
