Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
 ١٦ بار ,16 Bar , ١٦ بار ,Afroto, 2019,https://genius.com/Afroto-16-bar-lyrics,https://images.genius.com/59b394fab179902f6bb8efcd2c7a3585.1000x1000x1.jpg, ١٦ بار اسكندراني I My Mi عفروت راشد Yeah Ahmed G ادرين مش بنحور بنداريش مش بتعاير بخزق تاريخ u2005دستوري u2005دي افع u2005 لعبه بتاعتي بمشيها بدماغي مش بنحور u2005بنداريش مش بتعاير بخزق تاريخ دستوري افع لعبه بتاعتي بمشيها بدماغي تطلع بره بلوتو مشغول بيا ودايماً مش بشوفه عادي صاحبي وطموحه شايفكم انتوا بتموتوا تموتوا تحكهاش بحب اكلكوا بابا جونس تيجي شقه تاخدي رجل هنجيب بطنك سلمون Beatكل بيعطلني حياتي مش بشوفهم صاحبي E emies بعمل مش فاكره اصل بيعمل مش فاكرني اصبح ناس عادي بمشيها براسي بيخافوا فنشي صاحبي سباق ايه فهمني تشوف وشي تجري ياه بره بتضحكولي جوه خلق مش كه لنفسيها من جوه سودا هتيجي علينا مش هنسيب حقينا ناخد تابيده حقي هجيبوا عليا اسكندريه سيوف تحديدا اس سيوف بنمسي ب ١٦ بار نار للع تغريده مش هنشربك قصب فيش رحمه هنشرسك تنزلش ملعب هنرقصك اصلك عجزت سهل عضمك يتكسر سلم قطر نط ڤرندا اصل عفرت وصل تقع وانهي كريرك خلصت ناس جراد,156
 عكاريت ,3Akaret , عكاريت ,Afroto, 2021,https://genius.com/Afroto-3akaret-lyrics,https://images.genius.com/146ae7366064dc7652d034dd337876a3.1000x1000x1.png, شباب عكاريت بيخافوا مني مطاريد بعلم تلاميذ ودفعوش مصريف ياما حبس مظ تشيلها غريب باخد عاطل باطل ياما حبس مظ ناس بتثور وكلت ناس دور يابا ودي خمسلي ومسي باع يابا غور يابا بايظ يابا جيتوش تكرفش مظبوط جاي اقوم دور فودكا جنبي سور وبمجهودي محدش جاملني تراكوا بيطير شات يزملني محروقه غيرانين مني خدت منكو صيت نيني فرجت سيوف لفلوريدا مكانش قصدي سوري جات هتبمبك دور يبقي دوري او نجم صعب تعدوا جرب يحلو اخواتي ظبطوا واقف زور اشربلي ذبادو مشي حاجه ميري هتجيب كاشات اباشا تيجي تقولش يابا زميلي تقولش يابا زميلي فوق اجميل تشغلش دماغك ببقي قاطع كمين اجمد فيكم يجيش عندي نقطه قلمي,107
 عالسخان ,3al Sa5an , عالسخان ,Afroto, 2020,https://genius.com/Batistuta-3al-sa5an-lyrics,https://images.genius.com/faf25b55a5abfe38073a33218527ff10.1000x1000x1.png, راشد Pop pop اسمع ابن عفرو وباتيستوتا عفرو Yeah سخان سخان بنلعب سخان نجوم جيلك beat هنقتلوا ونعمل dap Pop pop pop u2005pop u2005pop سخان سخان هنصفيكو u2005واحد مش هنحل تريندات سخان سخان نجوم جيلك u2005ع beat هنقتلوا ونعمل dap Pop pop pop pop سخان سخان هنصفيكو u205fواحد u205fواحد u205fمش هنحل تريندات سخان u205fيلا توتا مش شايف u205fجلب نفسي ابقي سامع شغب سهله اجيبك هوا نعملوا حفله نجروا ءمه سكا كين مش كين فوازير هتزاولوني هكتبكم شيت مكوك فضاءي اصله اسكندراني رابنا رابكوا لحمه زفر عاشو فدور مغني جامد لقو مش هيبقو ناس ديه فاجر بتصومو وبتفطرو بتراكي زري زري بيو باسورد شغل سيب تك تسمع صوت بوم سوري ودنك بستهدفها كفء بيهاجموني مش بخم عفريت عامل ديناميت بلدوزر بيت كواريك وانتو لاحقين ريحتي حلوه شمامين جسد سيانيد رخم اوي كشري دمي بركان حمقي شاب حوده ce la vie,139
 على عيني ,3la 3eny , على عيني ,Afroto, 2020,https://genius.com/Afroto-3la-3eny-lyrics,https://images.genius.com/47df05099ca976e54a17386063810c89.1000x1000x1.png, مفيش حب مفيش قريب اضطريت اغيب عيني عيني يحاسب u2005 مشاريب u2005فاكرني مش قاريك u2005شيفاني مش اكيد عايزه اجيبلك شقه وعربيه مش u2005عايز نركب مشارع قديم شدتي عندك ظروف عندي منافسين عندي u205fاعداء u205fوشويه u205fهموم ملسمين مستنين لحظه u205fهجوم ناس u205fمستنين اموت ورغم بقول مافيش مشكله حلوه مره بنحمد ربنا ناس بتحبنا ناس ضدنا يارب قوينا وابعدهم عننا جسر حاجه حلو بتيجي وتمشي زرقي بصنلي دايما ناس ناس ناس ناس ناس فيك,72
 خمس خمس ,5ams 5ams , خمس خمس ,Afroto, 2020,https://genius.com/Afroto-5ams-5ams-lyrics,https://images.genius.com/589d060119c21b9204479e04c52a7928.1000x1000x1.png, لازمه حازم اسك مسامع ناس بعدي مافيش منافسين تتداري عيني بارده عينك نار نار ولعانه ولع ولع كوكب واحنا نولع  حازم اسك بكره نتقابل تيجي حجري تيجي حجري تيجي رمان تقوليش اسف عمو تقولي بابا قمه نخمس خمس حبيبي بابات تجار حشيش واعضاء حقيقه شيطان شافوني بلعب فكروني خربان بينام بدري لسه سهران تكلمنيش غلط عداني عيبي O ly e wi me وانتوا بتيجوا دري نتشاقي فكره هقتلك عيبي خطير مش لاقي حل بيجي جنبي اسفلت خافوا خافوا خافوا واحنا بنتكلم حذر فزر بقي نتجن عادي بره كوكب جوه نجم تاخد بادي اظلم برازيك اسف دماغي بايظه خربانه طلعت تجري هربانه اكمني سايقها سايب طاره اقولك غاره ايدي چوان ونضاره ايدي چوان ونضاره,113
 حالة ,7Ala , حالة ,Afroto, 2023,https://genius.com/Afroto-7ala-lyrics,https://images.genius.com/7dc4e87330729df93cf95d8586294f3f.1000x1000x1.png, Yeah Huss u200eكانت حاجه u200eماكتش اص نص u200e u200eكل حاجه u200eكل حاجه u200eكانت u2005حاجه u200eعملت u2005فيها تقيل u2005 سهرت ياما u200e ذكريات u200e ذكريات u200eمش قادر u2005انساها u200eكانها جات u200eفي دماغي عامله شغب u200eمابقي شغف u200e دنيا بتمشي u200eبس مابمشيش u200eو بيعدي وفضلت ماشي بحاول اهرب وانسي مابنسهوش ادمن ومابيبطلوش رغم قلت نخلف وعود ونعيش كابوس بنعيش كابوس,58
 حاول تتخيل ,7awelTetkhayal , حاول تتخيل ,Afroto, 2022,https://genius.com/Taher-t-7aweltetkhayal-lyrics,https://images.genius.com/e6ea5b245b18e1dd34a9759b4d35c38d.1000x1000x1.png, تتخايل نفسك متقدرش تتكلم ولا هتقدر تتكلم Beatحول تتخايل نفسك  Cor er متذنب في  Cor er اعد متذنب Beatحول تتخايل نفسك بتمثل فيلم Sta by اكشن جرب تعمل هندي هتلاقي ناس هند  طاهر هندي بيتكلم عربي هني هندي شرفي قلتلو اسمع مني طلبي اصل اصلي مصري ردتش اتص اصل كرت شحن فصل اصل عرف عصبي اعمل كده قدري زحمه وخرا ومصاريف للخبير ربيع مش عارف رديع هيعمل اصل اصلي مصري شايف مستقبل تشكش بصري ولو هندي اعتبرني هندك Beatو Please تشكش بصلي ولو زنجي اعتبرني زنجك Beatو Please تشكش بصلي افريقتي افريقتك حب نيل بيشهد حاره طريقي طريقك ماشي صديقك بقلك مسمير حفيدي وحفيدك بيقولوا للناس بره افريقيا فرافير,109
 حبك مات ,7bk Mat , حبك مات ,Afroto, 2019,https://genius.com/Dyler-7bk-mat-lyrics,https://images.genius.com/cfe08ab9278f6609bd2005e4a3eacecf.1000x1000x1.png, Yeah Dyler Totti Afroto لازمه عفروتو حبك مات ديه نفسيه مش مرضيه مني بيّا راجعه تاني ليّا مش همشيها Yeah حبك مات ديه نفسيه مش مرضيه مني بيّا راجعه تاني ليّا مش همشيها Yeah  دايلر مش بتطول اوقات كتير بطول مش بتدوم اوقات مش بتقول بتحب شخصيتي بجنون ورغم بغير اكيد غريب جبتلها دب وجبتلها ديب يبقي جبت دباديب جبت دباديب غبي Yeah فاكره كنتي غلبه بتهدي بينا وتقوليلي بسببك Yeah رجعنا Im goi g bad شفت غدرك قلت امشي سلامات غيره سابنا مش عايزينه ربنا كبير مش بيسيب عبيده شارع علمنا بيسلك لغيره ناس بتحبه وربنا بيزيده ها ها ها ها ها,103
 أحمد على إسم جدو ,A7mad 3la Asm Gedo , أحمد على إسم جدو ,Afroto, 2018,https://genius.com/Afroto-a7mad-3la-asm-gedo-lyrics,https://images.genius.com/14118698263cc93a3e650ed45e671606.1000x1000x1.png, DJ Batistuta Carukey Record عفروت عفروت عفروت عفروت قدم باص مدرستي تيجي Beatهبداء راب ABC Beat جديد فاشل واقدم  DVD فرجعلكوا تاني بيجي يبيض مش باخد منشطات بيرابوا بترامچاك شارع نجوم بيجولي دراما شات لزقين سنه بغباء مش اصول مقرمشات موجودين مفيش مقارنه فخد فهد تتاكل احلامك ضاعت ساهل اتكلمت موضوعك هادف مش هتبقي كاكا كاظم ساهر قاقا قذاره فرخه بتكاكي مش باكل كاكا بحبهاش هكا كمل كلامي واتريق كمان بص هوريك بيرابوا ازاي Beatهتقع  Beat اسندك مش بتقول كلام Beatمن بره Rich iggas iggas شكليات اكيد مش هراب جوايا صوت بيقولي ازميلي ممكن تبقي جامد مش زمن معجزات خد اجميل قولي بتصيع هتشوفني استعيذ برب هينجيك مش هلاهيل فمش محتاج دلاءل برهين نار مش هخاف عكس بكرفك براكين ريسبكت للراب جديد خلانا نكته لراب اساطير بره فرافير نفسهم زب لمت جراثيم اسوقكوا تكونوا قرفي عيل بربي اسوقك عادي مش عادي براعيك اسكت جارك ابن كارك رابي قريب امريكا كندا ناسي موبي لسه بكتب ورق دوري دوري اكسبك حلبه ابعد امسكك اضربك مش هتمسكني بنلعب كهربا اهطل وشكلي هقدرك كره قدم بدربك عفريت فهطلعلك واي Beatخد ساعتها هيكون Wait Beatكلمه هقتلك هتكون استوري Name شوط مزيكا معرفش حضناني ومصيرها هتجيب هتشوفني تيجيلي تقولي عايزك سيكا هبص بقرف تحت لفوق تدريجا ساعتها هقول سيبك سيبك لمبي اقول مش فاكرك ياض هتقولي افتكرني بترجاك وتتحايل عليا وتقلبها صداع فهقولك ماشي افتكرتك اسكت ولد عيب قولي بتتكلم بصفتك حشر اطف شيلوا منخيركوا حوار ياريت صوته اتكتم جيت جيت تقولي نسيت مش هطبطب ولو طلب نسمع رابك بلا بيض بقنعكم موت اقول بهزر مشكلتك مش بتفكر تفكر بيفكر يفكر يفكر مش دس يرد شايف اقوي Beatانا فهد جه سرق Views ايه قدم سبت مش هتلاقي يوم امم اسف وقتي مش انتوا اسف اسف سلاحك ابيض كلاشنكوف ايه نصيب مش هيحلكوا قرفي جيش اسيبكوا هاتوا شهاده مرضي مش حجم ادارافيل ارجع بارين هتلاقي جيش يعني سلطه رابك فرضها تع اوريك بكتب بقلم وبديك قلمين ابيه ساكت انتوا شغلتوني فاكر كداب مش شاغلني كسبان مره بكسب يجي سيس يقولك اجمد شغل ظبطته انتوا مش بتركزو بيشتمكوا مش عارف كرهني مش ذنبي بيحبوني حرقكوا تيديسوني كاريفكوا مش شايفكوا ملقتش للتراك سميته احمد جدو,346
 قدري ,Adary , قدري ,Afroto, 2021,https://genius.com/Afroto-adary-lyrics,https://images.genius.com/9961d8d7794bcb97a6cbd0801c7bcfc6.1000x1000x1.png,مروان موسي مشكله سكه تطول متبقاش مصدق عاشر مره ومش متعود خسرت ناس ارقام تخوف قديم سني يجيبوا سيرتي يخافوا مني يحس بندم يفتكرني سكينته ضهري بيبتسملي عفروتو زميلي مش سندي افكاري تعباني مشتت بلدي مداري بلاوي غلطه بسببي سوء تفاهم بحلم دلوقتي صاحي ودي هلاوس قدري قدري دماغي تتعب للدرجه قدري قدري ضهري دراويل قدري قدري راسي تتعب للدرجه قدري قدري ضهري دراويل تخوني ظروف مش بتعلم دروس ناس غدارين صاحبي مش كه نفوس شوفني حزين جوايا بحدف مولوتوف تمطر عليا مصايب بعامل مشاكلي ببرود,86
 قهوجي ,Ahwagy , قهوجي ,Afroto, 2022,https://genius.com/Afroto-ahwagy-lyrics,https://images.genius.com/f21bc95596cf7d7d6a29e34351ce01fa.1000x1000x1.jpg, قهوجي دلوقتي نجم وماشي حاره بسيفي راكن اخصام ويتنج قولي مستغرب But Im still amazi g ٦ سنين يابا بيسمعني بيبي راكن بكيفي قهوجي دلوقتي نجم وماشي حاره بسيفي راكن اخصام ويتنج قولي مستغرب But Im still amazi g ٦ سنين يابا بيسمعني بيبي راكن بكيفي ننجز بنحرق بنزين صوتي دماغهم مضطرين كارهني مهتمين يابا بيته يسمعني تمرين يجي يشيل مني بجح اكسفه انتيم مش هتدخل هتقول زقك بتظيط بتسخف دكه بتسخن بتنزلش تشيط بتدخن اشوط بشم وارزع بار بلسع جار حمار فاكراك جاي نار استعمار نعطر ونحاسبك باشا اقتصد طاقات بتطير باشا اختصر كلام وانهيه انتصر كلاب بتظيظ فاكس بومبو فاكس حبيبي حاول تاخد كلام ودي هتنتقض كلام تتنيه ردي هيكون ز,113
