Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
 ١٢ دقيقة ,12 De2i2a , ١٢ دقيقة ,Marwan moussa, 2018,https://genius.com/Marwan-moussa-12-de2i2a-lyrics,https://images.genius.com/d575036dabb413e5aa5e8dcb05a2e3fc.1000x1000x1.png, عزيزي انسان نفسي اموّت ناموسه مش بتخليك تنام عزيزي انسان كلامهم غلط مش كذابين مش فاهمين اصل زيك جيلهم متقدمين مش فاهمين زيك تفكيرهم متعذبين سايق ضلمه لقيتك بتتمشي يمين ركبت جنبي زمان طريق صدفه قاعد بفكر منطقتك حاسس هشوفك دنيا خلتنا نتقابل وسط جهنم جهنم ليك جنه جديده مخليك تتعذب جنه بُصلي ولاءي ليك لازم تتاكد موبايلي رن تاني هقفله مش عايز اتشتت بمناسبه كلمه قلته ركبت اعرف اخونك اخويا فتره عايز اعاتبك شفتك وافتكرت عمري هتضايق عمرك قصرت عزيزي انسان نفسي اموّت ناموسه مش بتخليك تنام عزيزي انسان,90
 ١/٤ قرن ,1/4 Qarn , ١/٤ قرن ,Marwan moussa, 2021,https://genius.com/Marwan-moussa-1-4-qarn-lyrics,https://images.genius.com/84eb8a7c4b5b492726530ff9e9ca6f1c.1000x1000x1.png, مقدمه مروان موسي اسماعيليه دوله ورع هنقلبها فوضي ماشي بص  مروان موسي فضلت مكمّل شرق هتلاقي غرب هاتلي نجوم سما ونزّله ارض عمري قرن عمري قرن واحتفلت بعيد ميلادي ونّي شرم رجل تسبق رجل تسبق كسبانين ميّت محتاج دايماً اتحول محتاج دايماً اتشيك مطبخ بوراك مطبخ بنشيّف مبلغ مش قليّل صوص مش مزيّت ضغط شهر زاد ليله فات شوفت ايدي لفت تلات لفات ابو كباتن بلد باكل فاتن حمامه سلام تتدبح عندنا وتتاكل وسع سكتي شايف حك مش منطقي مفيش انجح شركتي ومفيش امتن شلتي بينا يقفّلوا قدر مش جاي مقاسك صعب تبدله ذكي وانطواءي برج دلو كلام هنقفله لعب هيبقي حلو ربح هيبقي بيور هنثبت حضور هدت قصور شخصيه تبقي غرور Beat  Busi ess غيرلنا مج زوايا نفسيات ضعيفه بتعرفش تقول كفايه بختفي اسبوع اطلّّع دهب جوايا Beatعيشه فنان بلاعب  Spo sors استغمايه نقط ضعف بانت صوره بقت انتاج بيعلي صوت يبقي اوطي اسماعيليه دوله ورع هنقلبها فوضي بنلعب شطرنج خريطه شرق اوسط توقفش طريق اغطس غويط تلاقي مجد مستنيك جنبك ناس كتير تخفش زعيق ناس كه نادره تلاقي نقص عبيط عمري قرن ليله عيد ميلادي اكيد محتاره هديه هتجيبيه ك فاهم فهماني هجيب جاك واجي,187
2001 ,2001 by Marwan Moussa - مروان موسى,2001 ,Marwan moussa, 2017,https://genius.com/Marwan-moussa-2001-lyrics,https://images.genius.com/d62ae463f82c6a2adb037cadb5b16350.500x500x1.jpg, تاريخ عربيتي ٢٠٠١ عايش حياتي كاني ٢٠٠٠ لعّيب ماتش تمرين جاحد عايز بيبيع منافسين عارفين واحد ١٧ سنه ضباب لبست ٤ سنين ايط هرشت سيست خلاص خلصت راجع سليم فبوست دبله اهدا وعلي مهلك خليك فريش رحله اسماعيليه باكل سوبيا رودي سايق مارادونا كاني بدوي اقدرش اغيب ماحدش يعمل شغلي بدلي يطلّع مطوه اطلع نووي وليه عينك بتسرح  فين هتقل واسيبك بتشرح معظم كلامك فَتي ملفوف قماش كيانك مبني غلط اساس مش مكسوف ناس تسيب كومنت اكون نمت اوعي تكون ندمت برنس تدوس سيند صحيت ساعه ٥ فجر لي حياتك اقلبها مشيت نصف شارع نهجت نمتش تاني ساعتها عيش وهم تنجز فشل حط واد رز يشتغل باصطاد انقذ سمك  بتسمعش وعايز يفهمك صحوني لي فوق بقي وقوم كابوس زمان شفتش نجوم وضوح مروان موسي حاطط نار فلوسك حافظ نظام ضامن دمار سوقك دخلت اعدادي وصحيت بدات اصطاد حياتي حبيت تلات مرات مرتين جون هوّش لبسش شديت فرامل يد شاط كاوتش وامبارح شفت حادثه رهيبه طريق خلتني اسرح عيشه ومشيت بطء نزلت قطر حياه مشي اوفر مش فارقه اتاخر عايز اوصل لي ركز واحده اتنين طبعا عارف كويس بيتكلم هارت انستا يبقي اتشهرت لسه تيجي تيجي تيجي تيجي موضوع بايدي تيجي تيجي تيجي,192
 قل مني شكرا ,2el Meny Shokran , قل مني شكرا ,Marwan moussa, 2018,https://genius.com/Hesham-raptor-2el-meny-shokran-lyrics,https://images.genius.com/41b3e06905427880dbb0e730536ef873.1000x1000x1.png, عايز تكلم رابتور ابعت مني شكرا مني يكرم بينا  لقطه نكته نقطه تشوفني تبقي تحت اوبا امتي يعلي صوتنا زيدنا صابنا نصبنا عيب قولت اصلح قفاك بصلح جراي بيسوح رابتور تنح رابتور بوخ مش صح  مش صاحبك ليفل صعب صنطرت بار اخد طرد مش مانتا Do ald duck فرق بيني وبينك مورجان فريمان مورجان احمد مورجان مش مجبر بديك مجمل جيب بوغبا وبديك دي ركبه بيني وبينك معين معين ليه اعمل راب وعيط لناس معينين عيانين سين محتاج تطهير معادا مين خمس عشرين خمسه كتير دوم تيك نيك راب طور مش هتبقا رابتور تنطط بيت  يدوبك راكبه مصدق دايما منفسن شله هتنافس تسمعنا نشلك بنشاتك شنطه تشيلها باتل لوحدك تخسر وبتكسب وجود شله رابتور راجع سامع يركنهم بواقي تصدير غيابي ثابت مش واقع مليش بديل بشيل امث تصنيف  مفيش علامه جوده اغيب بفضل قمه مش بستني ماتش عوده شايف رابي تافه حبه,142
 ٣٠٠ مرة ,300 Marra , ٣٠٠ مرة ,Marwan moussa, 2019,https://genius.com/Abyusif-300-marra-lyrics,https://images.genius.com/23df951fefaf9135a5c379ac57c3f114.1000x750x1.png, جيتيش نهارده ٣٠٠ مره باينلك دماغي محبوسه بتطلعيش بره عمرت طلقتين عارفه هيروحوا تركزيش كلامي هتفهمي حاجه بعدين ماجيتيش انهارده ٣٠٠ مره باينلك دماغي محبوسه بتطلعيش بره عمرت طلقتين عارفه هيروحوا تركزيش كلامي هتفهمي حاجه بعدين ساعه بترجعش كلامها بيتق سكوت مش ببقي لوحدي لوحدي هبقي لوحدي اموت خدت ايدك سرقتي مني سنين مش هيجيلي نوم هنصفي قديم لزوم اقول كلام كلام كلام مش هيفهموه بلف وبدور مش بمشي دوغري توصل بيا اقوله خدني مش بحب اطلع بره اوضتي ردي ردي بلف وبدور مش بمشي دوغري توصل بيا اقوله خدني مش بحب اطلع بره اوضتي ردي ردي ردي ردي,99
365 ,365 by Dawsha - دوشة (Ft. Marwan Moussa - مروان موسى),365 ,Marwan moussa, 2018,https://genius.com/Dawsha-365-lyrics,https://images.genius.com/229cd4df6f53e974c67966b7fff6bcfe.1000x1000x1.png, ٣٦٥ اكونش بعضي ٣٦٥ وشوش بتتبدل قصادي ٣٦٥ يوعدني ويبيعني ٣٦٥ احارب بكل قلبي ٣٦٥ اكونش بعضي ٣٦٥ وشوش بتتبدل قصادي ٣٦٥ يوعدني ويبيعني ٣٦٥ احارب بكل قلبي  دوشه حبيت مره اجازف بخسر اكسبش عارف شايف سما فوق مني تحت مني مش شايف خايف اغلط تاني غلطه عارف لسه ورطه بعافر لاني قادر عايز افهم صح ابني ساتر باديك بدل فرصه ٣٦٥ هشوفك فكره بني ادمين عايشين ارض بنحب نعض عايشين ارض بنحب نعض بنحب نوصل لروحنا اجمد حقيقه اضعف بعض,81
 عاش ,3ash , عاش ,Marwan moussa, 2022,https://genius.com/Marwan-moussa-3ash-lyrics,https://images.genius.com/49e3748436eae1d57b3660f55796da70.1000x1000x1.png, Woah هاها هاهاهاهاها ثانيه واحده بص مافيا عارفني عارفني هتسلم عليا وتقولي حبيب عضم كتفي كشف كذب انسي تنافقني Optio عندي اشوط فيرس بمشط رجلي Optio عندي بص نزلت كشك اتلم عليا خلق مارو مافيا مايك مارو مانيا انتاج مارو فينك فوني مهري ماسيجات سبعه هاسيندا ريد سباق موتسيكلات ادي سباق موتسيكلات Wi ger تراك بيرقص  قريب هتشوفي لاند روفر هاف ديفندر Ju gle عملت بروديوسر رابر سينجر اداءي افضل مايك زنجر,72
 خمسة ,5amsa , خمسة ,Marwan moussa, 2017,https://genius.com/Marwan-moussa-5amsa-lyrics,https://images.genius.com/0ab8a7dbeba2312fb7cd0f5620a122fa.1000x1000x1.png,كلمات مروان موسي خمسه ممدوح فرج دخلت بهوب سلام چاكي شان سيز كام قلنا نام صلب تام ديكتاتور اردوغان هارص كلام فوق كلام فوق كلام حيبقي ايه برج خليفه برج جدي كلام مابياكلش فسقيته شربه فتي يش هكسر قزاز نيش تفكير متوازن للاسف ليكو حقد مازقنيش كابتن تنزل بيت باتل ماجيش عامل عزومه عزيمه مج متبقليش زحمه دي تعبانين تبا لعنه ولّعنا فوز تاني ليا فكانت قاعده شيك وافقتش كلامه بيس ليه وبيحزق واد حطني عينه طلعت عينه وحشه ليه لازم دايما غ جايب كلام فارغ بتمثل عامل بارد مش عليّ انا مش عليّ طبعت جسمك كنبه هتلبخ تتحاصر ورقه حمرا وسط علم كندا حسستك رصاص رجّعت قلمك صعب اتعامل واحده مصريه متامركه نفسي تبقي اسيويه ومدملكه تقول لي مووووهي  بلهجه غرب صين اقول لك عايز واحده ارجنتين بانزل ملعب احيي جمهور راسي نمره عشره صانع لعب بوزع واباصي اتصبت هاغير نمره واقسمها نصين بارفع لهم خمسه سما تخزي ١٤ شلت حبيبتي باي قلت لها بيبي هابي فاكن نتاين شربت قهوه كراسي واقفه زوري مش اشربها تكون ستوري باحب عند مش بتقول باردون روحنا ناكل سوشي طلبت رغيف جارسون سبنا بعض عمرنا انتهينا وحيده فيلم وزينه اجابه سء ك اصلي مارو محلّه حسنه ياسمين صبري مارو محله  يبيعش رخيص مواجهه تاخد غُرز تصيعش طريق يوم خميس خروجه جامده نزلت مكتب مدير دخل عليّا لميته رجل ثابته فاكر مسيطر مارو وهم برضو بيرسم عليا وشم تنّحت لواحده حلوه لمده ثانيه شافتني هافضل ثابت مش هابص ناحيه تانيه حاجه فيا واطيه قيمتي بتقول لي مواه معناها انا فرنسي قلبي ابيض دهنته احمر ولما سرقني  عملت محضر عنف كتب فهرس سوق هبل تغرز تلقي ناس فاشله سمع جدل تِدرس بانزل ملعب احيي جمهور راسي نمره عشره صانع لعب باوزع واباصي اتصبت هاغير نمره واقسمها نصين بارفع لهم خمسه سما تخزي مقطع كلمت شوّ ي قلت له جاي تونس بانفع بقدونس فابقدم راب وهاعمل انقلاب فني نَزّلِت اغنيه وحصل انفلات امني سجلتو رُطب قلتوا انكوا جبتوا جول رابكو مش ماشي مترونوم  وريحته ثوم حاول يكسبني فرصه مش متاحه عقده خواجه طلب شرطه سياحه محتاج حاجه ابرون ممكن ليله دي قعدت اشك جامد ففسيت دماغي جات فكره عبقريه لتطوير انسان ايه عمليات تطويل لسان بتتامّر ارد بلاش هوش خبز فاكلت عيش قفاه حوار مفروض لسان مش مينشن اخبارك بتتنشر نت مش هتنشف فرق بيني كسول چيب لادا باموت شغل وباعيش اجازه ربكو راكد مارو ثلاثي ابعاد لقيت سين فاضي قمت حاشي امعاء مومبار عبيته بفنطاز فتقول مومبيه مافيش سنتي جسمي قلقان اوكيه عارف مش هتندم عادي عقابك بانزل ملعب احيي جمهور راسي نمره عشره صانع لعب بوزع واباصي اتصبت هاغير نمره واقسمها نصين نرفع لهم خمسه سما نخزي عين,424
 حدوتة ألماني ,7adota Almany , حدوتة ألماني ,Marwan moussa, 2022,https://genius.com/Marwan-moussa-7adota-almany-lyrics,https://images.genius.com/356b86a66c5933467efd453a94ef52c0.1000x1000x1.png, كلمه اِحتراف معناها انتَ راجل مُميكن جيب يجيب حضوري خمسين ريق زميلي عربيد ماشي ساحه تلكيك حاسب محك انهيك سلاح وسط دايره تسحب تاخد جايزه جرب حظك مش حايشك بكتيريا مش شايفك مين مارو خط نجم راب شط ظبط ظبط خبط ورزع قص ولزق يش نصب تيجي تلميح اشطف بلدك باشا هتصيع مش كندا برود اعصاب بغلي كنكه هنهي حلقه Movie Star لحظه ثانيه دقيقه استني لسه اتقل اعقل نفهمها,70
 حرامي ,7aramy , حرامي ,Marwan moussa,2018,https://genius.com/Vli-weezy-7aramy-lyrics,https://images.genius.com/40df4bfb04eab00ce516e6e9334daec3.1000x1000x1.png,  مروان موسي شهره عايزه منا سبتيلي روچ كوبايه لاتيه ابني ٣٠٠ وخمسه كيه مش فاهم بتبعتلها جبتلها شمواه تلي امواه Au revoir قلتلها سلام دنيا بياض وصفار دنيا وحايد واصفار مش انا اينبوكس اتهرا Beatسابولي likes كاس اتقلب باجي مره سنه حفله راس سنه اوه ولا اوه كلام اتزنق Je soy egipcio tu eres colombia بتحب تدلع مش باديها فرصه بتبوز بقوم واخدها غرفه اوضه بخار شوربه اوتيل حاجزين اوضتين خاطر شرطه  عيني فساتين لسه ايدي بساتين داخل برا غنوه وده دليل مقطع ثاني ويزي شهره عايزه مني ويزي ومعروف شانزلزيه احسن لاعب فيكو اعمل باصي بطل شغل ساديو مانيه ادم غار مني شيطان حاطط هاند فري ودان حيطان بيتش سلطان هديكي صولجان Beat دنيا So cold حران بجري حيط باركور هعملك سيجار كوري سوتيه فرفور عيد ميلاد طرطور ويزي مروان فلو سوبر سونيك رهوان هنعمل مسلسل رمضان تدفق كلامي يسبب فيضان جزمه بيضا چاكيت اسود شعرها خشن مش بتفرد اتسرق واحنا بنجري اتمني تكون وصلت فوق هرم فاقع صليب وصل هرم للنيل جناح دراعي سهل اطير صاحبتك تلي مله سرير حرامي حرامي,173
