Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
 عادي فشخ ,3adi Fash5 , عادي فشخ ,Marwan pablo, 2016,https://genius.com/Marwan-pablo-3adi-fash5-lyrics,https://images.genius.com/851c4fd260fad7b7e457e0f631ae84fd.1000x1000x1.png, عادي فشخ فشخ تدي ايحاء روش فشخ حياتي ممله مسخ مفيش ابتكار اصلاً عايش نسخ نسخه مستنسخ مستنسخين كلامي عباره نزيف شرجي تخين مطرطش حيطان راسم بدم مدبوح ميت غرقان حلمه طموح فتحها عافيه يتوف قفلها ببوقه وغير مدينه مدينه نمره هتيجي فقره فقره جابت اخري بتمثل دور طاهره مش لايق مش لايقه بيحوش فلوس يجيب بوكيه صبار ميت مش هتحتاج تسقيه عطشان اصلاً لسه رميه بتاعي فاصل عاده تاني بفك دماغي واطلع معاني راجع كويس احسن تفهم لوحدك شرح مطول دراعي حيطه وسقفي هبقي غش Beat بار Refresh اهوش تكش اشوش دماغك ونقطع دش ابلك تجف ازفك تخف عينك وعينك ترف اطحنلك مزيكا تقعد تسف دمي رمله دود بيلف لساني فضاءها ولو غيري تتف متسربعه تقلي وبتقولي خف اعطسكوا وانف بختلف معرفش ابقي عرص لازم اعترف,127
 عالم إفتراضي ,3alam Eftradi , عالم إفتراضي ,Marwan pablo,2016,https://genius.com/Marwan-pablo-3alam-eftradi-lyrics,https://images.genius.com/851c4fd260fad7b7e457e0f631ae84fd.1000x1000x1.png, بنام وبصحي اوضه اصغر دماغي عايش مكتءب افتراضي وصفها مفروض فاهماني حقيقه بكدب لسه مقابلتش جزءي تاني بيقولوا مش بفهم ادبي فتحت سوسته بنطلوني ووريتهم ادبي حاجتين حمام بشخهم واعمل انجاز ودي اكل باكله كلام ناس موسيقي  داما بيشم مخدرات مقطع تاني دماغي بتسيح محاط احباط قولولي حاجه افهمها شايل وداني شفاط بكلم نفسي ماكلنا مرضي متخافش مش جلطه باصين ارض اعترافي بمشاعري غلطه اعمل نفسك مهتم اعمل نفسك بتعيش دور بوكيه ورد نص حاره وشي ديكور بحفر حديد بشوكه بخزق عينك ازاز بكره بشر فاكيد ربي مش انسان,89
 عايز فين ,3ayz Fin , عايز فين ,Marwan pablo, 2018,https://genius.com/Marwan-pablo-3ayz-fin-lyrics,https://images.genius.com/a23f757b37fb5fe02440d71ebffd43f1.1000x1000x1.png, Ok WoohWoWo فاكر وريهم بقي عايز فين بقت بتدوس بتفوز كلام مش بفلوس عايز فين تنفعش تبقي زميل بتحرق جاز كتير عرفتش برضه عايز فين بقت اعلام بتشيل وتنام بشر بلسان اهتم بيبان شغله مش هتبات ووه دُغري مافيش مجاملات ووه كاريزما انور سادات  ووه قولي عايز فين Beat تع نقدرها Maratho بجري حكومه بتطاردني فيكوا شاغلني بيشغلنيش وما بيشغلنيش اشباح جان كافه هتلف ميزان بظبط اداء oh Gucci Gucci Gucci Ga gومش ب بستشلحكوا كلام حطيتهملك مزاد حدش هيدفع قرش ساغ صاحبي بنسخن مناخ Beatب Milly Rock ومش ب Dap Beat روحي  Trap خلاص قربت اكون ه ونجوم ليل مقدوري اشلفلك عايش متربصلي مش هتسلك مش هتسلك فبلاش تشب هتفضل مش طايل وضع طيران ياريت ترنش موبايل صاحبي بنسعي صاير تضحكليش وشي بوشين ملك غيري تبقي بدعه اكلت جو مافيش فايض عايز مني حبه قولي,136
 عزبة الجامع ,3Ezbt El Game3 , عزبة الجامع ,Marwan pablo, 2018,https://genius.com/Marwan-pablo-3ezbt-el-game3-lyrics,https://images.genius.com/cfd65e509e58dff1e6ba429f93bab6ea.1000x1000x1.png, خلاص بطلت صحبه بتجمع حشيش خلاص بطلت صحبه بتجمع حشيش خلاص بطلت صحبه بتجمع حشيش ومايشغلنيش خلاص بطلت صحبه بتجمع حشيش خلاص بطلت صحبه بتجمع حشيش خلاص بطلت صحبه بتجمع حشيش ومايشغلنيش دماغنا اتكلفت تراب لعبتنا شباب منا اتعلمت اساتذه مبلم عملت ناس شيء ندل متلومش مايشغلنيش بطلت صحبه بتجمع حشيش مجليش صعب ماديش هديك ازميلي نصيحه متحولنيش صاحبي مش بهبد قلبت دنيا مرمي وعم اسدد ومش متبت نولعوها عز برد قارص صاحبي شوف لعب مكشوف حضرت جن قلبت واقع طرابزين وهتلاقيهم فوقك طريقك نازل ازميلي بيسوقاك بيسوقاك,88
 خفافيش ,5afafish , خفافيش ,Marwan pablo,2016,https://genius.com/Marwan-pablo-5afafish-lyrics,https://images.genius.com/851c4fd260fad7b7e457e0f631ae84fd.1000x1000x1.png, احتكار بجري تتار كلامي ناسبك هيلففك بحار مزيكا عامل انصهار كلام كرتون ليل نهار دماغي فانتازيا فشخ  يش انتحار طرزان غابه يبقي اكيد فضا مافيش كلام اكيد طز يكره اكون سعيد لساني ترامبولين بسلك شايك مشنوقين فرحان بتعامل صافي ناس وسخه اعترافي ضغط باشرافي بنلعب اضافي عايم بحر ارانب حاسس قرصان Beatبكسر  Roof وابني طحوله قطط وجبه تونه مستبيع راسي لرجلي جينا قبليك بقينا ستار جينا جنبيك عملنا حصار دماغي شغ زرار بقف تاني بقف تاني فكيت مزامنه ورحت تاني شتمته رماني شغلت اغاني فتحت تلاجه وده شدني بصطبح ليل فتحس دماغي خفافيش بتنونو راسم حيطه  عندي فلوهات كتير مستودع مش لازم اقول توكيل احراج زور ومفك مخه مقفول اوضتي راس واحده جوه صندوق بتغني,115
 حين ميسرة ,7een Maysara , حين ميسرة ,Marwan pablo, 2022,https://genius.com/Molotof-7een-maysara-lyrics,https://images.genius.com/c3bb0b8223af72f335355ea363fba103.1000x1000x1.png, Yeah Yeah yeah Yeah مكتوب نصنع مجد نصنع مجد دور We started baseme ناس بتشوف فرق ناس بتشوف فرق ناس بتشوف فرق فوق زميلي دوخه بدون كوكا تيجي نثبت صنم فوق ازميلي دوخه كاني سمسم Beat حط Emoji خوخه Preachانا مش جاي Moral جاي اقول لازمه وحش شاشه باقي فطش نازل لطش ماتش Royal Rumble بتغاشم افكرش Ive bee dri ki g much Ive bee goi g far اتكون عندي طاقه معرفش اسمها Beatابعتلها Message نظام اخد طلقه لمولوتوف بقول مش صوت  بشوف مرايتي يوم ياه,86
 أحلى تور ,A7LA TOUR , أحلى تور ,Marwan pablo, 2018,https://genius.com/Obarz-a7la-tour-lyrics,https://images.genius.com/08814305326df62a6c4f9071b15d7bee.1000x563x1.jpg, CAN’T SEE YALL IN4 CAN’T SEE YALL IN THE DARL NEGA6  مروان بابلو ازميلي ناس مش هتشوفنا عادي برا ازميلي مش هشوفهم رافع دماغي  دماغي First class ماشي  okay جرعه تموت ماجي ازنقها تموه عيدلي مبنحرقش بنزين متجيش بقي تفول متجيش بقي تفول متجيش بقي تفول مبنحرقش جاز كتير اسف ازميلي بيدوب كحل وصلت يقيد نور Cool تعمل اسطول مش هنبقي Tour اخدك مجاري نعمل احلي CAN’T SEE YALL IN THE DARL NEGA6 مقطع ثاني OBARZ Thoughts  I’m rude If k ow hommie  I’m cool Looki vibes Positive mi ds Light Light Watch iggas follow Pay igga Is motto Hash came Morroco Got feeli like pablo I zo e pablo Never idol I ru 5 O I try get check Throwi diamo ds eck Moved lotta percsets Cou mo ey double check I ca hear mo ey calli Trappi early mor I dream ori g My life could ever bori g Could ever bori g,155
 أبو مكة ,Abu Mecca , أبو مكة ,Marwan pablo, 2019,https://genius.com/Marwan-pablo-abu-mecca-lyrics,https://images.genius.com/ae0fe1765f560cb8c472d1ef42d5b9ce.1000x1000x1.png, I feel like Tupac eyes Ayy yah Fucki  awesome Yahyah Yeah مافيش دراما Fuck مافيش دراما زميلي وريني ماده عايزين ناكلوا عيش نعملوا فته جايه شام نرقصوا دبكه عارفه هداف ابو مكه  صاحبي شارع بيسلكش سوس عارفين لعبه فيهاش حظوظ BeatWelcome بيك  Lobby مش ناوي دور  هتموت Nigga like Pah Pah Im ru g game Nigga mad Cause were ot same Yeah هتشيط Beatكلها بتحملج  Feat عايز غِني مش صِيت هتقل وده اكيد ياه Beatانت بتبمبك مش  Comeback اسطمبه كاسر لمبه شمبر مش شايف حد اوضه ضلمه بابلو بارع برود بابلو حلو اسود خمسه حسود حصلتوش برود You iggas t k ow shootow WًoaWoa Woa WoaWoa WًoaWoa Woa WoaWoa,109
 افتر بارتي ,After Party , افتر بارتي ,Marwan pablo, 2019,https://genius.com/Amro-awaad-after-party-lyrics,https://images.genius.com/e63bf419966324abcb83b082e68732cc.1000x1000x1.png, اشجار وتلج وميه اصتفات ميه اشجار وتلج وميه اصتفات ميه خد ليك سيب Beat  After Party صباحيه اشجار وتلج وميه اصتفات ميه خد ليك سيب Beat  After Party صباحيه  عمرو عواد اولي اشجار تتلف تانيه تلج يتسف ته ميه تتصب ناسي حاجه متكي عَلي صبر بتاعي ريس حرب راجع ابني مدنكم قصر ملوك انيمكم عصر ملوك لسه قبر Beatحاطت بنها  Map ڤيرزاتي تتلم كتاب ڤيرزاتشي دولاب حاقدين اكتءاب صحاب بقو اغراب احباب ضاعوا سراب بلح يملي عينهم تراب BeatID Royal خراب كلكم عشري ابراهيم مش لءيم غشيم اسفين حبونا كارهين نقرا فاتحه حاقدين ساعه سلام بنحارب ماشي بساعه عقارب فاكرني غايب بنساكم وبفتح ازايز ساعه سلام بنحارب ماشي بساعه عقارب Если ты меня не знаешь Нахои сука сука сука,119
 أهلًا ,Ahlan , أهلًا ,Marwan pablo,2016,https://genius.com/Marwan-pablo-ahlan-lyrics,https://images.genius.com/851c4fd260fad7b7e457e0f631ae84fd.1000x1000x1.png, احلامك مش هتشوفها مغمض عينك ايدك رسمه بتتلون ايدك بسمه وبتلون بيضه غربان معتوه غرك لونها بيضه هتفقس تعبان عايش معلقه فنجان ملعون ابو تفاهم بيجيب صداع حير جلد حيه بشر فاشله اصطناع بحارب ضلمه لوحدي نمت هحلم مفيش نهايه سعيده كوابيسي بتقولك اهلاً مش لاقي كلام اعبر فقدت نطق ذكريات بشوفها كتر ملل ببطء بتشرح نزيف بفرط نضيف اشك مسعوره بقت وباء خنزير بيبص لفوق غباء فاصل دمي اشرب ناموسه هتعمل شوفت عفريته بتلبس عروسه رحبوا بيها قوموا رحبوا بيها مركب مياه انتوا هتولعوا رحبوا بيها بقولكوا رحبوا بيها دنيا مش جنه هنموتوا ايماني موت مش هيبعدوه عني سفري للمجهول قاعد بلون كفني بشوف نور مرعب ابعد بماطل حق مشهد اخوات رصيف يتعاركوا نص رغيف نزلت قاع وشوفت كتير عيون ببصه تجيب تنميل دماغي واقعه مني بير كره زفت فيل تخين هقسم وشه لكرابين فعصت عينيه بايديا عملت بيه سحر حولني غول شرب تور كنتش هقول بموت,148
