Title_ar,Title_english,Title_ar,Artist,year,Song_url,image_url,cleaned_lyrics,Num_words
16 بار بالعربي ,16 بار بالعربي by Wegz - ويجز,16 بار بالعربي ,Wegz, 2018,https://genius.com/Wegz-16-lyrics,https://images.genius.com/d105b154dee6e16d9771c41363486422.1000x1000x1.png, زميلي زمايلي كتير ومعروفين جنبي بابا روفيل وشوترز متزرزرين شايطك ٢٠٠ طريق Beatحراق ميثانول Beatمعروف Mega mall Beatانت حلو Ci amo Beatتلاته لتر فودكا وخطاب Beatوافوق كرسي  Pe tago عمرك تبات عطارين Beatعملت Wave دليل Beatعامل CV TNT تاريخ قعدت ابط متكدرين Beatراكب Beat Dj Totti Beat تلاقاني فوقك Teleporti g ملعب بتاعي تيكي تاكا Beatانت بطيء TeData طويله مش ممكن قنابل ومسدسات ضرب نار مش مسلسلات Beatورديان مش Bad boys BeatFlow فضاءي Star Wars ثبات واخد حقي مش ببقي غارس تيره مش بسقي قياده منطقه وبرقي عايش بعين واشقي عيني وجيه جنبي بفه بنتندجلوا يقولي بموت بقتله اعرفش ابيعه ابدله Beat Fat Sam هنسجلوا عمري اطاطاي لحد شباب تموت حرق ابط بتموت حبس حق يودي حبل,117
 واحد وعشرين ,21 , واحد وعشرين ,Wegz, 2020,https://genius.com/Wegz-21-lyrics,https://images.genius.com/466c62649ebd062d85a9269fabc39005.1000x1000x1.png, اوووه اووووه اووه اوه اوه اوه اوه اوووه اووووه اووهووو راسي مدينه شوارعها ذكريات عندي زمايلي جبروته u2005يتاجروا u2005في ممنوعات مافيش u2005لو همشي لابس خمس ساعات خلصت لعبه u2005من زمان مستقصي كلام مش كتير هيساعدوك طول طريق حاجه u205fببلاش u205fصاحبي u205fناخد كتير احلام u205fمجاناً حلمت u205fاكون امير بقينا ملوك وبننفذ كبير لعبوا عليا بيضه وحجر لعبت ابراكادابرا سيناترا Legacy بعمل ظروف بنعيش مخاطره دنيا رافعه سلاحها محارب مخضرم تيجي وتروح صحاب مطرح اسكندريه تجيبش اباطره حرام اكياس حل قطره يحميني مو مناصره وعشرين ولساني ستين ولساني سكين وانساني تقدر بنعجز ونشيب بنعجز ونكسح وبتيجي تتمسح بتمسك واسيب بتملك وابيع بنفل حديد عيشه ربيع اخويا حشيش  اخويا مشاكل هنشكي لمين اخويا مساكن شباب مراكب حارس بيراقب روما مش بعيد صحاب غرقانه غريق Yeah عزوتنا سليم,124
 على راحتي ,3la Ra7ty , على راحتي ,Wegz, 2019,https://genius.com/Wegz-3la-ra7ty-lyrics,https://images.genius.com/65c387f140b9cd0819013a11e5c4f2fd.1000x1000x1.png, هلا عوده قلوبكم سوده بادء فوره جايبك شوقك كلفتوني علاج صداع مربي راسي ليل وموزارت ممشي u2005 u2005علي راحتي كفوفي u2005وعلي راحتي ومصلحتي Fame  سيبها u2005 مبهم اوضحش مش فاهم بشرحش اجي اخلص كترش طولي اهزك صدرش لعبه سنترش جبناها تحت لفوق هنوصلوا سما تنسوا عيش ملح تحسوش شبع ياما بينضرب بيا مثل نار هموم تتكون جبل فنعيشوها امل فجاه تعمل تمث فجاه تقولي بنحتك تجيش تقولي اسيطك اعملك نجم اظبطك مقطع اخيطك مش ناقصه حك وجليطه شقينا دغري شفنا مرمطه قافل راسي رزه انتوا بميه ميه لون فاتح راسك بلطه اخدش كسيبه يابا بنبرطع خسران عاركه فتبرطم مش قادر اقفل خزنه هاتهم شطنه,104
 حرامية ,7ramia , حرامية ,Wegz, 2018,https://genius.com/Vortex-7ramia-lyrics,https://images.genius.com/755623664c9af16a886697a99812fbd9.1000x1000x1.png, نمشي نيه جرايمنا علنيه مادشوا خانه فسمونا حراميه باقي طاقتكم ميه  ويجز Beatمميز تراكاتكم  Default متاسف عندي شغل معظمها كاش حب قلبي ميت داخل كمين بجوب اعملهم شعبيه لابس بنفيكا Beatويجز لادن  Beat امريكا شباب بتلحس ايدي دولسيكا افكاري مشفره ابوظلك منظرط Dam Beatمش مهتم براب ب Text Beatقتلنا اخصام وقولنا جاي Next كويت لمصر ويجز وفورتكس كويت لمصر ويجز وفورتكس هتهبد تتنفض سجاده نحضر حكايه ونجيبوا رابنا حبايه مش امث ك اشك شكايه اتكايه زميلي بطل هبد امسك عقل صعب اتفرهد جاي راكب سهل ميطيروش رابط افكاري حبل مجوش لورا يبقي بيجوا جنب بيتك ازاز اوعي تحدف طوب Beatتقولي تراك اقولك Soo استاد ياً صلاح غيري تموت ليفربول,109
 عفاريت الأسفلت ,Afareet El Asphalt , عفاريت الأسفلت ,Wegz, 2021,https://genius.com/Wegz-afareet-el-asphalt-lyrics,https://images.genius.com/ff638d281b6c7a448fd0ca95f2ede0f1.1000x1000x1.png,ادليب بابا جيهه جيهه يجيها بابا جيهه جيهه يجيها بابا جيهه جيهه u2005يجيها بابا u2005جيهه u2005جيهه يجيها بابا جيهه جيهه u2005يجيها بابا جيهه جيهه يجيها بابا جيهه جيهه u205fيجيها u205fامرجحها u205fاجيبها اوديها ضارب دشداشه u205fاجيب عيد u205fامرجحها اجيبها اوديها حقودي مش داري ماجتش بسهوله ابقاقكم مفشوخه امخاخكم مقفوله شغل انطقها مفعوله تجيبش سيرتهم بيحضروا عفاريت اسفلت بتكدروا بعدكم رووس مش بتفكروا طلع جنبي بزفره بفتح سنكي واجي مزفره ومفيش بغل فيكو بقدره بنات عيره كلكتوا غيره مش جني بتحضره,79
 أقوى ميكس ,Akwa Mix , أقوى ميكس ,Wegz, 2022,https://genius.com/Telecom-egypt-akwa-mix-lyrics,https://images.genius.com/cf3a9b2e9ae761f0fce85a79202899c1.1000x1000x1.png,  احمد مكي برصرص بار تقل فيل بابار بار بوم هبت صرصر فنار احتكار لكار جاب هوك طاخ بوم فون Car باردون Zo e داخله  Call To e ب Copy ركاب كار شيكارتوني سلتب ساكسافون مش زيزافون Swag طاقيه اخفا ناسج توبي بدات راب لولاكي وتاكسي سهره يكونله جمهور وشوفته واحده واحده انتشر بقينا جيش بشر سيطرنا حفلات طابور اتحقق دنيا اصله حلم ناس وله فعلاً تبان مستحيله لحد بتتحقق تتدرس كح School X School Ms اصفارها Cool Mix كسرنا سقف Whats Next School X School Ms اصفارها Cool Mix Whats Next كمين Out Box مطب صناعي مبطرخ تخين اكسر يمين سمين Guess What فدادين Creativity يافطه كليشيه فوق ارض ملك حاج مكي Sce e بشرب قهوه سكتو واتفرج  محيطك اطلسي كريته بسين Whats poppi  k ow I mea Wooh مسمسم سمسمه شكلمه مسبسب شنبي ساڤانا تيستي ياما مسرسب سنه نمسنه نمس ونسر سما انما هدمدم دمدمه بدندنه دنه اتدمدم مدد دنا تدني بندمنه مادد اتني فني نمنم نام نما,159
 علي بابا ,Ali Baba , علي بابا ,Wegz, 2020,https://genius.com/Wegz-ali-baba-lyrics,https://images.genius.com/2f65e59c293f27ced6ad0d2e48f5c6c0.1000x1000x1.jpg, بابا مدفع يابا ورديان للمطريه اربعين نسخه وعلي بابا علي بابا Lava ابخ Lava u2005فجرت u2005 طاقه ابخ اسمي خارم u2005نص u2005راسك u2005نص راسك تبطيل مافيش u2005اراده مافيش u2005اراده يحطني u2005في راسه بدري يعجز يعجز اركبش غلط u2005مش بتاسف بتاسف يشوفوا غضبي شباب يتحفز يتحفز ابدا اشاره ينفذ اتزربن اعلق مشانق مشانق دكينا كتير مكابس مكابس اصحي متاخر مدارس مدارس عيني بارده عينيكم حارس حارس اجيب ضرفها اشمعها اشمعها نجوم رجلي معها  معها جعجعه اوريها اسمعها اسمعها بتشكي وتدمعنا مساكن بتتكلم صبيان بتتادب صاحبي صيت غني جوز شغلتنا حلوه وجوز لوز يشغلنيش فرقع لوز غدر يابا ودان وانتوا زب غدارين بلدنا انتوا امان ضرر تطولش حريم شباب حلنجي وبهلوان كاسيهم بجيبي كريم طورس توكه حزام سيطره عطارين يدي علي بابا يدي علي بابا يدي علي بابا يدي علي بابا مين يدي مين يدي,133
 أميرة ,Amira , أميرة ,Wegz, 2022,https://genius.com/Wegz-amira-lyrics,https://images.genius.com/288c422b1039da69b1765391b9c49811.1000x1000x1.png, اميره يدي بعيده اعيش عيشه عيشه بابه احلامي بسيطه حلم اكفيها لازمه ومعيش ومنين هنجيب بشر بتجري بتجري بتجري وقرش خسيس بعلي حسي بقول وبعيد زهر ك سيبنا نعيش مش امبارح طمعت حاجات امتي فرق ي اميره جات مش امبارح طمعت حاجات امتي فرق مش امبارح طمعت حاجات امتي فرق ي اميره جات لازمه نويت اجيب جمار ماس واقول عشق وسط ناس واقضي حبس نهبنا اعيش وجع وحبيبي يرتاح تايه بحرك عيني فداك بسيط دنيا سداح مداح عيني عينيها ولد وتاه بكلم نفسي نفسي اتكلم بنت راجل بيه جايز كلامي عيب خفيف ضل جيب بدي وعود معيش شيء,98
 أسياد البلد ,Asyad El Balad , أسياد البلد ,Wegz, 2020,https://genius.com/Wegz-asyad-el-balad-lyrics,https://images.genius.com/1c6172861d35f885c9842c20d24dfa7f.1000x1000x1.png,  سافج بلاغ شيشه شيشه باشا حشيشه حشيشه فوك بشر عاوز فلوس ومعيشه بنما Nice smoke سلعه تجي u2005من u2005كتامه خدمنا باش نعمرو u2005 بطون حكايتك مليانه بوطوكس ماكبرناش وسط u2005 كوطون هاد دنيا نقريك بزاف دروس نمشي بلا كونطرا نكتب بلا u205fستيلو وجّد u205f باكي u205fاصاحبي واشتكيلو Beatلي يخون u205f عهد igga u205fقرد جاي مريض مقود قراتو دوكا مايخافش سيلون اوطبسي حبه جيبي خرجو مراود شيري باد وشري نبقي نعاود حاب ضرب نيغا نجوك عاوز مره نلعب معاك نخرج فايز لازمه سافج بلاغ ميه تلتميه حاب دنيا كامله كابه رافد You wa jewels baby عليا ليل عرفنا حراميه ليل عرفنا حراميه Beatذيابا نعشقو  Moo ليل عرفنا حراميه ليل عرفنا حراميه ليل عرفنا حراميه كابه رافد ليل عرفنا حراميه ليل عرفنا حراميه ليل عرفنا حراميه كابه رافد مليون,127
 أسياد الصوت ,Asyad Elsoot , أسياد الصوت ,Wegz, 2021,https://genius.com/Wegz-asyad-elsoot-lyrics,https://images.genius.com/c0a9ca81ffb9519afddeb0e37e15f00d.1000x1000x1.png, مافيش ثقه ايدك توتو مافيش ثقه ايدك توتو عمرنا اتبترنا اتبترنا عمرنا استكثرنا رزق خلق تعيشوا وتجيبوا وبعيد دارنا نفتحها نزفرها نزفرها دفعه تاخرها تاخرها اخصامي قادر اكدرها اعداءي لبست ابخرها طرشه مصدرها طرشه اصدرها كرو كاتعه يكبرها اعداءنا يصبرها u200eعليكو غلبه جاكو موت روبابيكيا مش جرامافون نعملو جلب اسياد صوت اسياد صوت u200e عليكو غلبه جاكو موت روبابيكيا مش جرامافون نعملوا جلب اسياد صوت اسياد صوت,67
